Dataset,Model,Hour,type,Score,std
dev,bigrams,16.0,anaphor_gender_agreement,51.9325,1.526618578988966
dev,bigrams,16.0,anaphor_number_agreement,53.309999999999995,1.5969524547891654
dev,bigrams,16.0,determiner_noun_agreement,43.3,0.5737097324805085
dev,bigrams,16.0,noun_verb_agreement,48.765,1.0084641788382962
dev,bigrams,16.0,noun_verb_order,55.39500000000001,4.625642812471736
dev,bigrams,32.0,adj_noun_order,39.335,0.8990921346929184
dev,bigrams,32.0,anaphor_gender_agreement,51.932500000000005,1.5928041310845504
dev,bigrams,32.0,anaphor_number_agreement,53.79,0.43916587602711876
dev,bigrams,32.0,determiner_noun_agreement,44.3775,1.4813591731919744
dev,bigrams,32.0,noun_verb_agreement,49.1325,1.478340849285667
dev,bigrams,32.0,noun_verb_order,55.7,4.048464729581656
dev,bigrams,64.0,adj_noun_order,39.22,1.1030865786510133
dev,bigrams,64.0,anaphor_gender_agreement,51.545,0.7283199846221372
dev,bigrams,64.0,anaphor_number_agreement,53.855000000000004,0.9121677477306507
dev,bigrams,64.0,determiner_noun_agreement,44.26,0.3394112549695456
dev,bigrams,64.0,noun_verb_agreement,47.91,0.09899494936611956
dev,bigrams,64.0,noun_verb_order,55.775000000000006,3.6557420587344445
dev,bigrams,128.0,adj_noun_order,38.91,
dev,bigrams,128.0,anaphor_gender_agreement,50.0,
dev,bigrams,128.0,anaphor_number_agreement,54.24,
dev,bigrams,128.0,determiner_noun_agreement,43.54,
dev,bigrams,128.0,noun_verb_agreement,47.43,
dev,bigrams,128.0,noun_verb_order,54.410000000000004,
dev,trigrams,0.5,adj_noun_order,49.00437500000001,6.410743471301804
dev,trigrams,0.5,anaphor_gender_agreement,51.83718750000001,2.40666310865239
dev,trigrams,0.5,anaphor_number_agreement,48.89968749999999,2.205485074835598
dev,trigrams,0.5,determiner_noun_agreement,49.35718749999999,3.095514167906468
dev,trigrams,0.5,noun_verb_agreement,49.23031250000001,1.483249450177418
dev,trigrams,0.5,noun_verb_order,54.30281250000001,6.735491568800832
dev,trigrams,1.0,adj_noun_order,46.96375000000001,6.187092052371303
dev,trigrams,1.0,anaphor_gender_agreement,51.94999999999999,1.8320409912303797
dev,trigrams,1.0,anaphor_number_agreement,50.47375000000001,2.242511193196793
dev,trigrams,1.0,determiner_noun_agreement,49.83624999999999,2.651639480676787
dev,trigrams,1.0,noun_verb_agreement,49.29218749999999,1.3127654493472922
dev,trigrams,1.0,noun_verb_order,54.8246875,6.372441667243361
dev,trigrams,2.0,adj_noun_order,46.2990625,4.197393476428883
dev,trigrams,2.0,anaphor_gender_agreement,51.981875,1.9476494310967813
dev,trigrams,2.0,anaphor_number_agreement,49.895625,2.3404809782772045
dev,trigrams,2.0,determiner_noun_agreement,49.58062500000001,2.402191120085857
dev,trigrams,2.0,noun_verb_agreement,49.517812500000005,1.5077150718564911
dev,trigrams,2.0,noun_verb_order,58.976250000000014,5.864070341302357
dev,trigrams,4.0,adj_noun_order,47.53875000000001,4.135577152840553
dev,trigrams,4.0,anaphor_gender_agreement,52.335312499999986,1.9725225120347474
dev,trigrams,4.0,anaphor_number_agreement,49.686562499999994,2.3504942642538666
dev,trigrams,4.0,determiner_noun_agreement,49.20687500000001,2.712576964866173
dev,trigrams,4.0,noun_verb_agreement,49.5134375,1.6401270788196323
dev,trigrams,4.0,noun_verb_order,58.197187500000005,5.011371092004084
dev,trigrams,8.0,adj_noun_order,47.91,3.327727953624412
dev,trigrams,8.0,anaphor_gender_agreement,52.416875,2.0159355768476344
dev,trigrams,8.0,anaphor_number_agreement,49.518750000000004,2.0006461456239575
dev,trigrams,8.0,determiner_noun_agreement,47.938125,2.232150588558039
dev,trigrams,8.0,noun_verb_agreement,49.765,1.8492124449793934
dev,trigrams,8.0,noun_verb_order,57.29437499999999,3.964837060544438
dev,trigrams,16.0,adj_noun_order,49.025,4.177275256842499
dev,trigrams,16.0,anaphor_gender_agreement,51.739999999999995,2.2194465204511835
dev,trigrams,16.0,anaphor_number_agreement,48.87375,1.4825165621816354
dev,trigrams,16.0,determiner_noun_agreement,47.66749999999999,3.551167815964611
dev,trigrams,16.0,noun_verb_agreement,50.01625,1.5226381007036054
dev,trigrams,16.0,noun_verb_order,56.120000000000005,4.7413560447257215
dev,trigrams,32.0,adj_noun_order,49.5325,4.302103167831599
dev,trigrams,32.0,anaphor_gender_agreement,51.9325,0.6496858215065707
dev,trigrams,32.0,anaphor_number_agreement,50.385,1.7932558843251203
dev,trigrams,32.0,determiner_noun_agreement,47.965,3.2982672218403786
dev,trigrams,32.0,noun_verb_agreement,49.9975,0.6470123646422817
dev,trigrams,32.0,noun_verb_order,57.295,4.036182189478898
dev,trigrams,64.0,adj_noun_order,50.0,0.8768124086713154
dev,trigrams,64.0,anaphor_gender_agreement,52.32,0.36769552621701196
dev,trigrams,64.0,anaphor_number_agreement,48.715,0.9121677477306482
dev,trigrams,64.0,determiner_noun_agreement,53.11,1.35764501987817
dev,trigrams,64.0,noun_verb_agreement,51.17999999999999,1.9657568516985955
dev,trigrams,64.0,noun_verb_order,57.14,1.2869343417595143
dev,trigrams,128.0,adj_noun_order,50.0,
dev,trigrams,128.0,anaphor_gender_agreement,52.580000000000005,
dev,trigrams,128.0,anaphor_number_agreement,47.56,
dev,trigrams,128.0,determiner_noun_agreement,53.59,
dev,trigrams,128.0,noun_verb_agreement,50.21,
dev,trigrams,128.0,noun_verb_order,58.97,
dev,unigrams,0.5,adj_noun_order,50.2434375,3.094449358880739
dev,unigrams,0.5,anaphor_gender_agreement,49.1615625,1.1322660959760191
dev,unigrams,0.5,anaphor_number_agreement,52.730625,1.925295013003663
dev,unigrams,0.5,determiner_noun_agreement,42.77812499999999,1.6384088219189783
dev,unigrams,0.5,noun_verb_agreement,49.97906249999999,0.7898442450582336
dev,unigrams,0.5,noun_verb_order,50.295,6.4996034618498335
dev,unigrams,1.0,adj_noun_order,49.736250000000005,1.5030458323662468
dev,unigrams,1.0,anaphor_gender_agreement,49.11187500000001,0.8900505150579057
dev,unigrams,1.0,anaphor_number_agreement,54.0965625,1.9685668757638972
dev,unigrams,1.0,determiner_noun_agreement,43.21156249999999,1.758144383543939
dev,unigrams,1.0,noun_verb_agreement,49.630937500000016,0.6610615088994304
dev,unigrams,1.0,noun_verb_order,51.5384375,5.990086492657358
dev,unigrams,2.0,adj_noun_order,49.750625,2.642481650682469
dev,unigrams,2.0,anaphor_gender_agreement,48.96812500000002,0.9962233118617424
dev,unigrams,2.0,anaphor_number_agreement,55.109374999999986,1.8242646552126314
dev,unigrams,2.0,determiner_noun_agreement,43.74999999999999,1.8667739984503557
dev,unigrams,2.0,noun_verb_agreement,49.60000000000001,0.7872082152731569
dev,unigrams,2.0,noun_verb_order,50.289687499999985,6.478177503755304
dev,unigrams,4.0,adj_noun_order,51.07937499999999,2.6030341322288475
dev,unigrams,4.0,anaphor_gender_agreement,49.09593750000002,0.5559581057261271
dev,unigrams,4.0,anaphor_number_agreement,54.876875,1.5618794251508916
dev,unigrams,4.0,determiner_noun_agreement,43.27156249999999,1.3254314194180883
dev,unigrams,4.0,noun_verb_agreement,49.674687500000005,0.8410476737475275
dev,unigrams,4.0,noun_verb_order,50.22781249999998,6.380722850331452
dev,unigrams,8.0,adj_noun_order,50.11750000000001,2.2675405178298362
dev,unigrams,8.0,anaphor_gender_agreement,49.06312500000001,0.6844824687309399
dev,unigrams,8.0,anaphor_number_agreement,55.061249999999994,1.2150109738873422
dev,unigrams,8.0,determiner_noun_agreement,43.33124999999999,1.3058477450810788
dev,unigrams,8.0,noun_verb_agreement,49.62625000000001,0.7419512562605901
dev,unigrams,8.0,noun_verb_order,48.926874999999995,6.005675891743301
dev,unigrams,16.0,adj_noun_order,49.5125,2.2963060398325434
dev,unigrams,16.0,anaphor_gender_agreement,49.161249999999995,0.61296556649969
dev,unigrams,16.0,anaphor_number_agreement,54.75625,1.1827804711175862
dev,unigrams,16.0,determiner_noun_agreement,43.182500000000005,1.611048904108304
dev,unigrams,16.0,noun_verb_agreement,49.635,0.5228493363976174
dev,unigrams,16.0,noun_verb_order,52.147499999999994,6.7967465956672415
dev,unigrams,32.0,adj_noun_order,47.464999999999996,3.5381869179943894
dev,unigrams,32.0,anaphor_gender_agreement,48.58,0.646374504447697
dev,unigrams,32.0,anaphor_number_agreement,55.5275,1.3446529911715748
dev,unigrams,32.0,determiner_noun_agreement,43.7775,1.1377279991280895
dev,unigrams,32.0,noun_verb_agreement,49.235,0.9311820445004275
dev,unigrams,32.0,noun_verb_order,48.1375,4.108400946029166
dev,unigrams,64.0,adj_noun_order,50.154999999999994,3.9810111780802595
dev,unigrams,64.0,anaphor_gender_agreement,48.449999999999996,0.0
dev,unigrams,64.0,anaphor_number_agreement,55.655,0.5444722215136464
dev,unigrams,64.0,determiner_noun_agreement,43.059999999999995,0.0
dev,unigrams,64.0,noun_verb_agreement,48.96,0.1979898987322341
dev,unigrams,64.0,noun_verb_order,50.985,7.629682169002842
dev,unigrams,128.0,adj_noun_order,49.53,
dev,unigrams,128.0,anaphor_gender_agreement,48.449999999999996,
dev,unigrams,128.0,anaphor_number_agreement,56.3,
dev,unigrams,128.0,determiner_noun_agreement,43.059999999999995,
dev,unigrams,128.0,noun_verb_agreement,49.1,
dev,unigrams,128.0,noun_verb_order,52.580000000000005,
test,bigrams,0.5,adj_noun_order,43.708437499999995,2.688686103603336
test,bigrams,0.5,anaphor_gender_agreement,48.40656250000001,0.8896414985643041
test,bigrams,0.5,anaphor_number_agreement,50.23718749999999,1.1180375502234605
test,bigrams,0.5,determiner_noun_agreement,48.005312499999995,2.0087871230285117
test,bigrams,0.5,noun_verb_agreement,51.058749999999996,0.5673864814699384
test,bigrams,0.5,noun_verb_order,58.53125000000001,6.032695727610955
test,bigrams,1.0,adj_noun_order,43.5409375,2.2061298171597445
test,bigrams,1.0,anaphor_gender_agreement,48.68156250000001,0.6926205933195464
test,bigrams,1.0,anaphor_number_agreement,49.79468750000001,1.5319795003576688
test,bigrams,1.0,determiner_noun_agreement,47.84750000000001,1.54900175971911
test,bigrams,1.0,noun_verb_agreement,51.077187499999994,0.5491003455800499
test,bigrams,1.0,noun_verb_order,56.2503125,6.188135622288731
test,bigrams,2.0,adj_noun_order,44.214999999999996,2.3986609167509267
test,bigrams,2.0,anaphor_gender_agreement,48.60437500000001,0.5757067886099767
test,bigrams,2.0,anaphor_number_agreement,49.20062499999999,1.025365198513477
test,bigrams,2.0,determiner_noun_agreement,47.037187499999995,1.810528766775766
test,bigrams,2.0,noun_verb_agreement,51.06374999999999,0.4110784400463828
test,bigrams,2.0,noun_verb_order,54.14468750000001,5.004160194681248
test,bigrams,4.0,adj_noun_order,44.6303125,2.0492004489162867
test,bigrams,4.0,anaphor_gender_agreement,48.42937500000001,0.7279575381980419
test,bigrams,4.0,anaphor_number_agreement,49.154687499999994,0.7052246696460759
test,bigrams,4.0,determiner_noun_agreement,46.63000000000002,1.6951867344089637
test,bigrams,4.0,noun_verb_agreement,50.94562500000002,0.45343091731177126
test,bigrams,4.0,noun_verb_order,56.940625,4.538183477361124
test,bigrams,8.0,adj_noun_order,44.529374999999995,1.7501370184455087
test,bigrams,8.0,anaphor_gender_agreement,48.44125,0.7487400527998125
test,bigrams,8.0,anaphor_number_agreement,48.99937500000001,0.638764106171703
test,bigrams,8.0,determiner_noun_agreement,47.051874999999995,1.1493257081146928
test,bigrams,8.0,noun_verb_agreement,50.882499999999986,0.42086419028787136
test,bigrams,8.0,noun_verb_order,57.04875,4.535094082081797
test,bigrams,16.0,adj_noun_order,44.7025,1.4093134093289146
test,bigrams,16.0,anaphor_gender_agreement,48.2625,0.5911671264782654
test,bigrams,16.0,anaphor_number_agreement,49.02375,0.48100898417507804
test,bigrams,16.0,determiner_noun_agreement,46.79125,1.082529280369422
test,bigrams,16.0,noun_verb_agreement,50.86375,0.3091434017687343
test,bigrams,16.0,noun_verb_order,57.247499999999995,4.4759508167858275
test,bigrams,32.0,adj_noun_order,44.53,0.9945518253632267
test,bigrams,32.0,anaphor_gender_agreement,47.85750000000001,0.771983376332247
test,bigrams,32.0,anaphor_number_agreement,48.835,0.29894258088580844
test,bigrams,32.0,determiner_noun_agreement,47.155,0.5284253337353647
test,bigrams,32.0,noun_verb_agreement,50.9475,0.15840349322748085
test,bigrams,32.0,noun_verb_order,56.955,3.9543773213996687
test,bigrams,64.0,adj_noun_order,44.475,0.30405591591022024
test,bigrams,64.0,anaphor_gender_agreement,47.52,0.3535533905932738
test,bigrams,64.0,anaphor_number_agreement,49.035,0.1767766952966369
test,bigrams,64.0,determiner_noun_agreement,46.775000000000006,0.3606244584051353
test,bigrams,64.0,noun_verb_agreement,51.06,0.3394112549695456
test,bigrams,64.0,noun_verb_order,56.59,3.2526911934581144
test,bigrams,128.0,adj_noun_order,44.14,
test,bigrams,128.0,anaphor_gender_agreement,47.39,
test,bigrams,128.0,anaphor_number_agreement,48.91,
test,bigrams,128.0,determiner_noun_agreement,46.52,
test,bigrams,128.0,noun_verb_agreement,50.99,
test,bigrams,128.0,noun_verb_order,56.92,
test,trigrams,0.5,adj_noun_order,51.01531250000001,5.658431895154062
test,trigrams,0.5,anaphor_gender_agreement,50.028124999999996,0.7913786969179066
test,trigrams,0.5,anaphor_number_agreement,49.985,0.5087555975756118
test,trigrams,0.5,determiner_noun_agreement,50.387812499999995,1.348657000740059
test,trigrams,0.5,noun_verb_agreement,49.852500000000006,0.552606725934806
test,trigrams,0.5,noun_verb_order,53.08562499999999,6.5089149472337215
test,trigrams,1.0,adj_noun_order,47.25656250000001,5.015024915111943
test,trigrams,1.0,anaphor_gender_agreement,49.93406250000001,0.6313419367735941
test,trigrams,1.0,anaphor_number_agreement,50.08406250000001,0.491258156790199
test,trigrams,1.0,determiner_noun_agreement,49.9446875,1.3516656018385427
test,trigrams,1.0,noun_verb_agreement,49.869687500000005,0.38312370086081904
test,trigrams,1.0,noun_verb_order,54.13624999999999,6.4856550145487954
test,trigrams,2.0,adj_noun_order,45.8034375,3.789882634470957
test,trigrams,2.0,anaphor_gender_agreement,50.72999999999999,1.162508411346605
test,trigrams,2.0,anaphor_number_agreement,49.970625,0.7295201140298956
test,trigrams,2.0,determiner_noun_agreement,49.61375000000001,1.2558476124938291
test,trigrams,2.0,noun_verb_agreement,49.636562500000004,0.5843474959026878
test,trigrams,2.0,noun_verb_order,57.396249999999995,5.63344777831194
test,trigrams,4.0,adj_noun_order,45.85468750000001,3.762722919663538
test,trigrams,4.0,anaphor_gender_agreement,50.7790625,1.2936104997254767
test,trigrams,4.0,anaphor_number_agreement,49.798437499999984,0.7324246493227007
test,trigrams,4.0,determiner_noun_agreement,48.84593749999999,1.3768591170580249
test,trigrams,4.0,noun_verb_agreement,49.41906250000001,0.6522435690653429
test,trigrams,4.0,noun_verb_order,57.1353125,4.641793302214551
test,trigrams,8.0,adj_noun_order,46.514375,3.099522476662063
test,trigrams,8.0,anaphor_gender_agreement,50.96875000000001,1.0631141362368701
test,trigrams,8.0,anaphor_number_agreement,49.613125000000004,0.6673002197911612
test,trigrams,8.0,determiner_noun_agreement,48.039374999999986,1.737839535170035
test,trigrams,8.0,noun_verb_agreement,49.510000000000005,0.7480998150870853
test,trigrams,8.0,noun_verb_order,56.50625,3.5757663514273412
test,trigrams,16.0,adj_noun_order,46.90375,3.1172879123641173
test,trigrams,16.0,anaphor_gender_agreement,51.085,1.0821407355000408
test,trigrams,16.0,anaphor_number_agreement,49.59,0.5792852739121096
test,trigrams,16.0,determiner_noun_agreement,47.331250000000004,1.8993490426233628
test,trigrams,16.0,noun_verb_agreement,49.47875,0.758992518314338
test,trigrams,16.0,noun_verb_order,55.24125,3.3170315365226326
test,trigrams,32.0,adj_noun_order,47.09,2.397721140305239
test,trigrams,32.0,anaphor_gender_agreement,50.8675,0.6791845600914872
test,trigrams,32.0,anaphor_number_agreement,49.195,0.5744272509784525
test,trigrams,32.0,determiner_noun_agreement,46.807500000000005,3.5505809383817737
test,trigrams,32.0,noun_verb_agreement,49.730000000000004,0.785068999090741
test,trigrams,32.0,noun_verb_order,56.7275,1.6446554857071658
test,trigrams,64.0,adj_noun_order,48.71000000000001,3.04055915910216
test,trigrams,64.0,anaphor_gender_agreement,50.495000000000005,0.5303300858899131
test,trigrams,64.0,anaphor_number_agreement,49.315,0.7424621202458754
test,trigrams,64.0,determiner_noun_agreement,47.6,0.6222539674441586
test,trigrams,64.0,noun_verb_agreement,49.775,0.19091883092036502
test,trigrams,64.0,noun_verb_order,56.685,0.5020458146424444
test,trigrams,128.0,adj_noun_order,49.3,
test,trigrams,128.0,anaphor_gender_agreement,50.870000000000005,
test,trigrams,128.0,anaphor_number_agreement,49.47,
test,trigrams,128.0,determiner_noun_agreement,48.55,
test,trigrams,128.0,noun_verb_agreement,49.46,
test,trigrams,128.0,noun_verb_order,56.879999999999995,
test,unigrams,0.5,adj_noun_order,50.51687499999999,2.7934121088155646
test,unigrams,0.5,anaphor_gender_agreement,49.023125000000014,0.38179911539463995
test,unigrams,0.5,anaphor_number_agreement,50.72593750000001,0.598384164956734
test,unigrams,0.5,determiner_noun_agreement,41.97281249999999,1.4411403065158224
test,unigrams,0.5,noun_verb_agreement,50.015,0.20584992967787638
test,unigrams,0.5,noun_verb_order,49.8959375,6.492517211213478
test,unigrams,1.0,adj_noun_order,49.55187499999999,2.075903903394624
test,unigrams,1.0,anaphor_gender_agreement,48.821562500000006,0.45251347778894185
test,unigrams,1.0,anaphor_number_agreement,50.8653125,0.49471389173685065
test,unigrams,1.0,determiner_noun_agreement,42.260625,1.2116449429358154
test,unigrams,1.0,noun_verb_agreement,50.049375,0.17182018920765685
test,unigrams,1.0,noun_verb_order,51.65687499999999,5.212493946774547
test,unigrams,2.0,adj_noun_order,50.0721875,2.8577125234941816
test,unigrams,2.0,anaphor_gender_agreement,48.73718750000001,0.36880132228963214
test,unigrams,2.0,anaphor_number_agreement,51.08,0.4325990470214552
test,unigrams,2.0,determiner_noun_agreement,42.908125,1.2131601960542242
test,unigrams,2.0,noun_verb_agreement,50.113125,0.2154880058034825
test,unigrams,2.0,noun_verb_order,50.28093750000001,6.18874595633855
test,unigrams,4.0,adj_noun_order,50.704687500000006,2.6310172010263995
test,unigrams,4.0,anaphor_gender_agreement,48.80687500000002,0.4287599335819075
test,unigrams,4.0,anaphor_number_agreement,50.80125,0.5617067883950069
test,unigrams,4.0,determiner_noun_agreement,42.89968749999999,1.0657709140003009
test,unigrams,4.0,noun_verb_agreement,50.139687499999994,0.19001671191358913
test,unigrams,4.0,noun_verb_order,49.9909375,6.176751604449099
test,unigrams,8.0,adj_noun_order,50.45625,3.0531554715299607
test,unigrams,8.0,anaphor_gender_agreement,48.790625,0.30971963127964575
test,unigrams,8.0,anaphor_number_agreement,50.83062499999999,0.46283861478201604
test,unigrams,8.0,determiner_noun_agreement,42.99812500000001,0.9859967461068693
test,unigrams,8.0,noun_verb_agreement,50.096875,0.18859900141128405
test,unigrams,8.0,noun_verb_order,48.67875,5.679668857718142
test,unigrams,16.0,adj_noun_order,48.383750000000006,1.8482419252591693
test,unigrams,16.0,anaphor_gender_agreement,48.745,0.3273704760228526
test,unigrams,16.0,anaphor_number_agreement,50.823750000000004,0.5033299826441592
test,unigrams,16.0,determiner_noun_agreement,42.95250000000001,0.8555157174810646
test,unigrams,16.0,noun_verb_agreement,50.11750000000001,0.17458113136467887
test,unigrams,16.0,noun_verb_order,51.885,5.648385357149168
test,unigrams,32.0,adj_noun_order,47.1675,3.825862647822059
test,unigrams,32.0,anaphor_gender_agreement,48.73,0.38548670534792495
test,unigrams,32.0,anaphor_number_agreement,50.5275,0.41055856261115264
test,unigrams,32.0,determiner_noun_agreement,42.9825,0.9883108485356883
test,unigrams,32.0,noun_verb_agreement,50.192499999999995,0.1493039405597353
test,unigrams,32.0,noun_verb_order,48.425,4.217807487309013
test,unigrams,64.0,adj_noun_order,50.019999999999996,1.074802307403552
test,unigrams,64.0,anaphor_gender_agreement,49.01,0.3535533905932738
test,unigrams,64.0,anaphor_number_agreement,50.745000000000005,0.7424621202458804
test,unigrams,64.0,determiner_noun_agreement,42.795,0.09192388155424797
test,unigrams,64.0,noun_verb_agreement,49.98,0.09899494936611705
test,unigrams,64.0,noun_verb_order,51.099999999999994,4.893178925810908
test,unigrams,128.0,adj_noun_order,47.93,
test,unigrams,128.0,anaphor_gender_agreement,49.13,
test,unigrams,128.0,anaphor_number_agreement,50.9,
test,unigrams,128.0,determiner_noun_agreement,42.730000000000004,
test,unigrams,128.0,noun_verb_agreement,50.019999999999996,
test,unigrams,128.0,noun_verb_order,51.61,
